,Unnamed: 0,Unnamed: 0.1,vehicle_id,vehicle_type,nr_of_stops,stopping_station_ids
104,104,104,IC1936,IC,12,"['008819406', '008811221', '008811213', '008812005', '008813003', '008814001', '008814308', '008883311', '008883436', '008886009', '008886348', '008885001']"
105,105,105,IC1939,IC,12,"['008819406', '008811221', '008811213', '008812005', '008813003', '008814001', '008814308', '008883311', '008883436', '008886009', '008886348', '008885001']"
106,106,106,IC1943,IC,12,"['008819406', '008811221', '008811213', '008812005', '008813003', '008814001', '008814308', '008883311', '008883436', '008886009', '008886348', '008885001']"
107,107,107,IC1944,IC,6,"['008819406', '008811221', '008811213', '008812005', '008813003', '008814001']"
108,108,108,IC19716,IC,12,"['008821006', '008821121', '008894508', '008894201', '008893120', '008892007', '008896149', '008896008', '008885704', '008728654', '008728673', '008728600']"
109,109,109,IC19722,IC,12,"['008821006', '008821121', '008894508', '008894201', '008893120', '008892007', '008896149', '008896008', '008885704', '008728654', '008728673', '008728600']"
110,110,110,IC2005,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
111,111,111,IC2006,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
112,112,112,IC2007,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
113,113,113,IC2009,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
114,114,114,IC2011,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
115,115,115,IC2012,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
116,116,116,IC2013,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
117,117,117,IC2014,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
118,118,118,IC2015,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
119,119,119,IC2016,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
120,120,120,IC2017,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
121,121,121,IC2020,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
122,122,122,IC2021,IC,11,"['008872009', '008871100', '008871308', '008814209', '008814258', '008814001', '008813003', '008812005', '008822004', '008821121', '008821006']"
123,123,123,IC2028,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
124,124,124,IC2029,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
125,125,125,IC2030,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
126,126,126,IC2033,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
127,127,127,IC2035,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
128,128,128,IC2036,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
129,129,129,IC2037,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
130,130,130,IC2039,IC,11,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001', '008814258', '008814209', '008871308', '008871100', '008872009']"
131,131,131,IC2045,IC,6,"['008821006', '008821121', '008822004', '008812005', '008813003', '008814001']"
132,132,132,IC2104,IC,8,"['008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
133,133,133,IC2105,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
134,134,134,IC2106,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
135,135,135,IC2107,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
136,136,136,IC2108,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
137,137,137,IC2109,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
138,138,138,IC2112,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
139,139,139,IC2113,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
140,140,140,IC2116,IC,15,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
141,141,141,IC2118,IC,16,"['008814001', '008813003', '008812005', '008811916', '008811304', '008811460', '008811601', '008861200', '008863008', '008864501', '008864345', '008864006', '008865003', '008866175', '008866001', '008200100']"
142,142,142,IC2127,IC,14,"['008866001', '008866175', '008865003', '008864006', '008864345', '008864501', '008863008', '008861200', '008811601', '008811304', '008811916', '008812005', '008813003', '008814001']"
